sr_no,work_category,work_description,state,ida_agency,work_description,mp_name,constituency,image,completion_date,expenditure_amount
3224,Normal/Others,Install tube-well in west side of jevari village near temple,Bihar,KAIMUR (BHABUA)(DISTRICT PLANNING OFFICER KAIMUR BHABUA_IDA),Install tube-well in west side of jevari village near temple,Sudhakar Singh,BUXAR,,2025-02-20,232171.0
3225,Normal/Others,GRAM PANCHAYAT KURRWAH KE GRAM MADHURI PAWAI ME MAIN ROAD SE SUSHIL GAUTAM KE GHAR TAK NAVEEN SADAK NIRMAN,Madhya Pradesh,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),GRAM PANCHAYAT KURRWAH KE GRAM MADHURI PAWAI ME MAIN ROAD SE SUSHIL GAUTAM KE GHAR TAK NAVEEN SADAK NIRMAN,Rajesh Mishra,SIDHI,,2025-09-08,998305.0
3226,Normal/Others,Construction Work on CC Road at Bakshipanch Faliya At Navalpur village,Gujarat,SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA),Construction Work on CC Road at Bakshipanch Faliya At Navalpur village,Shobhanaben Mahendrasinh Baraiya,SABARKANTHA,Images,2025-08-08,500000.0
3227,Normal/Others,Paver block work near vadi at Salatpur village of Talod taluka,Gujarat,SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA),Paver block work near vadi at Salatpur village of Talod taluka,Shobhanaben Mahendrasinh Baraiya,SABARKANTHA,Images,2025-08-08,500000.0
3228,Normal/Others,Installation of solar street lights on the road from Koppal-Gadag road to Patan Masjid in Koppal city. [Ward no. 23],Karnataka,KOPPAL(DEPUTY COMMISSIONER KOPPAL_IDA),Installation of solar street lights on the road from Koppal-Gadag road to Patan Masjid in Koppal city. [Ward no. 23],K. Rajashekar Basavaraj Hitnal,KOPPAL,Images,2025-05-23,498724.0
3229,Normal/Others,Construction of CC road from PWD road to Deypur UP School.,Odisha,KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA),Construction of CC road from PWD road to Deypur UP School.,Malvika Devi,KALAHANDI,,2025-10-30,300000.0
3230,Normal/Others,construction of Pewar Path with Reling Jala at Nag Mandir Pekaiyadu to Kholadi.,Himachal Pradesh,CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA),construction of Pewar Path with Reling Jala at Nag Mandir Pekaiyadu to Kholadi.,Rajeev Bhardwaj,KANGRA,Images,2025-12-17,146244.0
3231,Normal/Others,Consturction of Community Centre,Punjab,HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA),Consturction of Community Centre,Raj Kumar Chabbewal,HOSHIARPUR(SC),,2025-10-28,300000.0
3232,Normal/Others,INSTALLATION OF 53 NO STREET LIGHT FROM LAGHATA MORE TO BAKUL VILLAGE MORE. EXECUTING AGENCY WILL BE E.O.LABPUR PANCHAYT SAMITY.,West Bengal,BIRBHUM(DISTRICT MAGISTRATE BIRBHUM_IDA),INSTALLATION OF 53 NO STREET LIGHT FROM LAGHATA MORE TO BAKUL VILLAGE MORE. EXECUTING AGENCY WILL BE E.O.LABPUR PANCHAYT SAMITY.,Asit Kumar Mal,BOLPUR(SC),Images,2026-07-22,2298150.0
3233,Normal/Others,"Computer Education project at Govt. U.P. School, Jamuna, GP-Jamuna, Block-Subdega",Odisha,Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA),"Computer Education project at Govt. U.P. School, Jamuna, GP-Jamuna, Block-Subdega",Jual Oram,SUNDARGARH (ST),Images,2025-02-21,480000.0
3234,Normal/Others,"INSTALLATION 53 NO STREET LIGHT FROM LABPUR REGISTRY OFFICE MORE TO SASTINAGAR BUS STAND,EXECUTING AGENCY WILL BE E.O.LABPUR PANCHAYT SAMITY.",West Bengal,BIRBHUM(DISTRICT MAGISTRATE BIRBHUM_IDA),"INSTALLATION 53 NO STREET LIGHT FROM LABPUR REGISTRY OFFICE MORE TO SASTINAGAR BUS STAND,EXECUTING AGENCY WILL BE E.O.LABPUR PANCHAYT SAMITY.",Asit Kumar Mal,BOLPUR(SC),Images,2026-07-22,2298150.0
3235,Normal/Others,Construction of Community hall in Reddy wadaat Maithapur (V) Raikal (M),Telangana,Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA),Construction of Community hall in Reddy wadaat Maithapur (V) Raikal (M),Arvind Dharmapuri,NIZAMABAD,,2025-08-19,357000.0
3236,Normal/Others,"Installation of high mast street light at sahispur ,Executing Agency will be EO sainthia panchayet samity.",West Bengal,BIRBHUM(DISTRICT MAGISTRATE BIRBHUM_IDA),"Installation of high mast street light at sahispur ,Executing Agency will be EO sainthia panchayet samity.",Asit Kumar Mal,BOLPUR(SC),,2025-02-21,481037.0
3237,Normal/Others,"Computer Education project at Govt. U.P. School, Baurimunda, GP- Rajpur, Block-Subdega",Odisha,Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA),"Computer Education project at Govt. U.P. School, Baurimunda, GP- Rajpur, Block-Subdega",Jual Oram,SUNDARGARH (ST),Images,2025-02-21,480000.0
3238,Normal/Others,"Computer Education project at Govt. U.P. School, Tedgamuha, GP-Rajpur, Block-Subdega",Odisha,Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA),"Computer Education project at Govt. U.P. School, Tedgamuha, GP-Rajpur, Block-Subdega",Jual Oram,SUNDARGARH (ST),Images,2025-02-21,480000.0
3239,Normal/Others,"Computer Education project at Govt. U.P. School, Luhurenberni, GP-Hamirpur, Block-Subdega",Odisha,Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA),"Computer Education project at Govt. U.P. School, Luhurenberni, GP-Hamirpur, Block-Subdega",Jual Oram,SUNDARGARH (ST),Images,2025-02-21,480000.0
3240,Normal/Others,Repair of Janj Garh,Punjab,HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA),Repair of Janj Garh,Raj Kumar Chabbewal,HOSHIARPUR(SC),Images,2025-02-22,200000.0
3241,Normal/Others,Construction of gravel road from Foju khan's House to Jasvir singh's well. Gram panchayat Khatoli,Rajasthan,AJMER(DISTRICT COLLECTOR AJMER_IDA),Construction of gravel road from Foju khan's House to Jasvir singh's well. Gram panchayat Khatoli,Bhagirath Chaudhary,AJMER,,2025-08-25,489564.0
3242,Normal/Others,Construction of Park,Punjab,HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA),Construction of Park,Raj Kumar Chabbewal,HOSHIARPUR(SC),,2026-01-06,200000.0
3243,Normal/Others,Providing supply pipelines and motor for drinking water at Dantaguntla GP of Bapulapadu Mandal in Krishna District,Andhra Pradesh,KRISHNA(DISTRICT COLLECTOR KRISHNA_IDA),Providing supply pipelines and motor for drinking water at Dantaguntla GP of Bapulapadu Mandal in Krishna District,Balashowry Vallabbhaneni,MACHILIPATNAM,,2025-02-22,299297.0
3244,Normal/Others,Boring and water supply work at a public place located at Karmali Chak in Ward No. 68 under Patna Sahib Assembly.,Bihar,PATNA(DISTRICT PLANNING OFFICER PATNA_IDA),Boring and water supply work at a public place located at Karmali Chak in Ward No. 68 under Patna Sahib Assembly.,Ravi Shankar Prasad,PATNA SAHIB,Images,2025-03-01,246500.0
3245,Normal/Others,"Renovation of SW Boys Hostel Building at P. Kothakota of Puthalapattu Mandal, Puthalapattu Constituency.",Andhra Pradesh,CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),"Renovation of SW Boys Hostel Building at P. Kothakota of Puthalapattu Mandal, Puthalapattu Constituency.",Daggumalla Prasada Rao,CHITTOOR,Images,2025-02-22,1517960.0
3246,Normal/Others,"Construction of community hall in Gudeti reddy Wada,",Telangana,Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA),"Construction of community hall in Gudeti reddy Wada,",Arvind Dharmapuri,NIZAMABAD,,2025-08-19,268123.0
3247,Normal/Others,Construction of community hall in Vishwabrahmana Wada,Telangana,NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA),Construction of community hall in Vishwabrahmana Wada,Arvind Dharmapuri,NIZAMABAD,,2025-02-22,400000.0
3248,Normal/Others,AMARWAH ME BUS STAND KE PAS,Madhya Pradesh,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),AMARWAH ME BUS STAND KE PAS,Rajesh Mishra,SIDHI,,2025-10-13,259942.0
3249,Normal/Others,BARI BUS STAND KE PAS,Madhya Pradesh,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),BARI BUS STAND KE PAS,Rajesh Mishra,SIDHI,,2025-02-28,259942.0
3250,Normal/Others,BARAMBABA BUS STAND KE PAS,Madhya Pradesh,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),BARAMBABA BUS STAND KE PAS,Rajesh Mishra,SIDHI,,2025-10-13,259942.0
3251,Normal/Others,BANJARI BUS STAND KE PAS,Madhya Pradesh,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),BANJARI BUS STAND KE PAS,Rajesh Mishra,SIDHI,,2025-10-13,259942.0
3252,Normal/Others,BAMHANI BUS STAND KE PAS,Madhya Pradesh,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),BAMHANI BUS STAND KE PAS,Rajesh Mishra,SIDHI,,2025-02-28,259942.0
3253,Normal/Others,BAGHAU ME BUS STAND KE PAS,Madhya Pradesh,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),BAGHAU ME BUS STAND KE PAS,Rajesh Mishra,SIDHI,,2025-10-13,259942.0
3254,Normal/Others,BADHAURA ME BUS STAND KE PAS,Madhya Pradesh,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),BADHAURA ME BUS STAND KE PAS,Rajesh Mishra,SIDHI,,2025-02-28,259942.0
3255,Normal/Others,DEOGARH BUS STAND KE PAS,Madhya Pradesh,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),DEOGARH BUS STAND KE PAS,Rajesh Mishra,SIDHI,,2025-10-13,259942.0
3256,Normal/Others,DEMHA BUS STAND KE PAS,Madhya Pradesh,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),DEMHA BUS STAND KE PAS,Rajesh Mishra,SIDHI,,2025-10-13,259942.0
3257,Normal/Others,CHULHI BUS STAND KE PAS,Madhya Pradesh,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),CHULHI BUS STAND KE PAS,Rajesh Mishra,SIDHI,,2025-10-13,259942.0
3258,Normal/Others,CHHUHIYA BUS STAND KE PAS,Madhya Pradesh,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),CHHUHIYA BUS STAND KE PAS,Rajesh Mishra,SIDHI,,2025-10-13,259942.0
3259,Normal/Others,CHAUPHAL KOTHAR BUS STAND KE PAS,Madhya Pradesh,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),CHAUPHAL KOTHAR BUS STAND KE PAS,Rajesh Mishra,SIDHI,,2025-02-28,259942.0
3260,Normal/Others,BISUNI TOLA BUS STAND KE PAS,Madhya Pradesh,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),BISUNI TOLA BUS STAND KE PAS,Rajesh Mishra,SIDHI,,2025-10-13,259942.0
3261,Normal/Others,DUBARI KALA BUS STAND KE PAS,Madhya Pradesh,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),DUBARI KALA BUS STAND KE PAS,Rajesh Mishra,SIDHI,,2025-10-13,259942.0
3262,Normal/Others,KHAMH BUS STAND KE PAS,Madhya Pradesh,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),KHAMH BUS STAND KE PAS,Rajesh Mishra,SIDHI,,2025-02-28,259942.0
3263,Normal/Others,KARWAHI BUS STAND KE PAS,Madhya Pradesh,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),KARWAHI BUS STAND KE PAS,Rajesh Mishra,SIDHI,,2025-10-13,259942.0
3264,Normal/Others,KARIMATI BUS STAND KE PAS,Madhya Pradesh,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),KARIMATI BUS STAND KE PAS,Rajesh Mishra,SIDHI,,2025-11-07,259942.0
3265,Normal/Others,JHAGARAHA BUS STAND KE PAS,Madhya Pradesh,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),JHAGARAHA BUS STAND KE PAS,Rajesh Mishra,SIDHI,,2025-11-07,259942.0
3266,Normal/Others,GHANDHIGRAM BUS STAND KE PAS,Madhya Pradesh,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),GHANDHIGRAM BUS STAND KE PAS,Rajesh Mishra,SIDHI,,2025-11-07,259942.0
3267,Normal/Others,DHANKHORI BUS STAND KE PAS,Madhya Pradesh,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),DHANKHORI BUS STAND KE PAS,Rajesh Mishra,SIDHI,,2025-02-28,259942.0
3268,Normal/Others,KUSMI BUS STAND KE PAS,Madhya Pradesh,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),KUSMI BUS STAND KE PAS,Rajesh Mishra,SIDHI,,2025-11-07,259942.0
3269,Normal/Others,TANSAR BUS STAND KE PAS,Madhya Pradesh,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),TANSAR BUS STAND KE PAS,Rajesh Mishra,SIDHI,,2025-11-07,259942.0
3270,Normal/Others,SHANKAR BUS STAND KE PAS,Madhya Pradesh,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),SHANKAR BUS STAND KE PAS,Rajesh Mishra,SIDHI,,2025-11-07,259942.0
3271,Normal/Others,GOTARA BUS STAND KE PAS,Madhya Pradesh,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),GOTARA BUS STAND KE PAS,Rajesh Mishra,SIDHI,,2025-11-07,259942.0
3272,Normal/Others,BHADAURA BUS STAND KE PAS,Madhya Pradesh,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),BHADAURA BUS STAND KE PAS,Rajesh Mishra,SIDHI,,2025-11-07,259942.0
3273,Normal/Others,RAUHAL BUS STAND KE PAS,Madhya Pradesh,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),RAUHAL BUS STAND KE PAS,Rajesh Mishra,SIDHI,,2025-11-08,259942.0
3274,Normal/Others,PATHRAULA BUS STAND KE PAS,Madhya Pradesh,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),PATHRAULA BUS STAND KE PAS,Rajesh Mishra,SIDHI,,2025-11-08,259942.0
3275,Normal/Others,BARMANI BUS STAND KE PAS,Madhya Pradesh,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),BARMANI BUS STAND KE PAS,Rajesh Mishra,SIDHI,,2025-10-13,259942.0
3276,Normal/Others,KAMACHH BUS STAND KE PAS,Madhya Pradesh,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),KAMACHH BUS STAND KE PAS,Rajesh Mishra,SIDHI,,2025-11-07,259942.0
3277,Normal/Others,PONDI BUS STAND KE PAS,Madhya Pradesh,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),PONDI BUS STAND KE PAS,Rajesh Mishra,SIDHI,,2025-11-08,259942.0
3278,Normal/Others,NEBUHA BUS STAND KE PAS,Madhya Pradesh,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),NEBUHA BUS STAND KE PAS,Rajesh Mishra,SIDHI,,2025-11-08,259942.0
3279,Normal/Others,CHAMRADOL BUS STAND KE PAS,Madhya Pradesh,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),CHAMRADOL BUS STAND KE PAS,Rajesh Mishra,SIDHI,,2025-11-08,259942.0
3280,Normal/Others,SONGARH BUS STAND KE PAS,Madhya Pradesh,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),SONGARH BUS STAND KE PAS,Rajesh Mishra,SIDHI,,2025-11-08,259942.0
3281,Normal/Others,SAHIJANHA BUS STAND KE PAS,Madhya Pradesh,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),SAHIJANHA BUS STAND KE PAS,Rajesh Mishra,SIDHI,,2025-11-08,259942.0
3282,Normal/Others,MAJHIGAWAN BUS STAND KE PAS,Madhya Pradesh,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),MAJHIGAWAN BUS STAND KE PAS,Rajesh Mishra,SIDHI,,2025-11-08,259942.0
3283,Normal/Others,TALA BUS STAND KE PAS,Madhya Pradesh,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),TALA BUS STAND KE PAS,Rajesh Mishra,SIDHI,,2025-11-08,259942.0
3284,Normal/Others,SHIKRA BUS STAND KE PAS,Madhya Pradesh,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),SHIKRA BUS STAND KE PAS,Rajesh Mishra,SIDHI,,2025-11-08,259942.0
3285,Normal/Others,MAHKHOR BUS STAND KE PAS,Madhya Pradesh,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),MAHKHOR BUS STAND KE PAS,Rajesh Mishra,SIDHI,,2025-11-08,259942.0
3286,Normal/Others,TIKRI BUS STAND KE PAS,Madhya Pradesh,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),TIKRI BUS STAND KE PAS,Rajesh Mishra,SIDHI,,2025-11-08,259942.0
3287,Normal/Others,MADWAS BUS STAND KE PAS,Madhya Pradesh,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),MADWAS BUS STAND KE PAS,Rajesh Mishra,SIDHI,,2025-11-08,259942.0
3288,Normal/Others,"Minor Repairs to Govt. SW Girls Hostel in G.D.Nellore of G.D.Nellore Mandal, G.D.Nellore Constituency.",Andhra Pradesh,CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),"Minor Repairs to Govt. SW Girls Hostel in G.D.Nellore of G.D.Nellore Mandal, G.D.Nellore Constituency.",Daggumalla Prasada Rao,CHITTOOR,Images,2025-02-24,499447.0
3289,Normal/Others,"Construction of Cross Drain Near Sadhon Mondal and Dilip Ghosh House under Dogachhia GP, Nakashipara Block, Nadia.",West Bengal,NADIA(DISTRICT MAGISTRATE NADIA_IDA),"Construction of Cross Drain Near Sadhon Mondal and Dilip Ghosh House under Dogachhia GP, Nakashipara Block, Nadia.",Mahua Moitra,KRISHNANAGAR,Images,2025-02-24,399842.0
3290,Normal/Others,GRAM PANCHAYAT BHATIYA ME 5000 LRT PANI KE TENKAR KI KHAREED,Madhya Pradesh,DAMOH(DISTRICT COLLECTOR DAMOH_IDA),GRAM PANCHAYAT BHATIYA ME 5000 LRT PANI KE TENKAR KI KHAREED,Rahul Singh Lodhi,DAMOH,Images,2025-02-24,198724.0
3291,Normal/Others,gram panchayat fatehpur me 5000 lrt pani ke tenkar ki khareed,Madhya Pradesh,DAMOH(DISTRICT COLLECTOR DAMOH_IDA),gram panchayat fatehpur me 5000 lrt pani ke tenkar ki khareed,Rahul Singh Lodhi,DAMOH,Images,2025-02-24,198724.0
3292,Normal/Others,GRAM PANCHAYAT JHAROLI ME 5000 LRT PANI KE TENKAR KI KHAREED,Madhya Pradesh,DAMOH(DISTRICT COLLECTOR DAMOH_IDA),GRAM PANCHAYAT JHAROLI ME 5000 LRT PANI KE TENKAR KI KHAREED,Rahul Singh Lodhi,DAMOH,Images,2025-02-24,198724.0
3293,Normal/Others,GRAM PANCHAYAT DHANGOR KALAN ME 5000 LRT PANI KE TENKAR KI KHAREED,Madhya Pradesh,DAMOH(DISTRICT COLLECTOR DAMOH_IDA),GRAM PANCHAYAT DHANGOR KALAN ME 5000 LRT PANI KE TENKAR KI KHAREED,Rahul Singh Lodhi,DAMOH,Images,2025-02-24,198724.0
3294,Normal/Others,GRAM PANCHAYAT PINDRAI ME 5000 LRT PANI KE TENKAR KI KHAREED,Madhya Pradesh,DAMOH(DISTRICT COLLECTOR DAMOH_IDA),GRAM PANCHAYAT PINDRAI ME 5000 LRT PANI KE TENKAR KI KHAREED,Rahul Singh Lodhi,DAMOH,Images,2025-02-24,198724.0
3295,Normal/Others,GRAM PANCHAYAT SHAHJAD PURA ME 5000 LRT PANI KE TENKAR KI KHAREED,Madhya Pradesh,DAMOH(DISTRICT COLLECTOR DAMOH_IDA),GRAM PANCHAYAT SHAHJAD PURA ME 5000 LRT PANI KE TENKAR KI KHAREED,Rahul Singh Lodhi,DAMOH,Images,2025-02-24,198724.0
3296,Normal/Others,GRAM PANCHAYAT RASILPUR ME 5000 LRT PANI KE TENKAR KI KHAREED,Madhya Pradesh,DAMOH(DISTRICT COLLECTOR DAMOH_IDA),GRAM PANCHAYAT RASILPUR ME 5000 LRT PANI KE TENKAR KI KHAREED,Rahul Singh Lodhi,DAMOH,Images,2025-02-24,198724.0
3297,Normal/Others,"Construction of a classroom at Madarsa Darul Uloom Habbiya Gulshan-E-Razalil Bannat, Anwar Nagar, Rae Bareli on the request of Shri Hafiz Anees, Manager, Mob- 9415118181",Uttar Pradesh,RAE BARELI(DISTRICT MAGISTRATE RAE BARELI_IDA),"Construction of a classroom at Madarsa Darul Uloom Habbiya Gulshan-E-Razalil Bannat, Anwar Nagar, Rae Bareli on the request of Shri Hafiz Anees, Manager, Mob- 9415118181",Rahul Gandhi,RAE BARELI,,2025-11-17,500000.0
3298,Normal/Others,Fitting of Sitting RCC Benches in Public Places,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Fitting of Sitting RCC Benches in Public Places,Sarabjeet Singh Khalsa,FARIDKOT(SC),,2025-04-07,150000.0
3299,Normal/Others,Fitting of Sitting RCC Benches in Public Places,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Fitting of Sitting RCC Benches in Public Places,Sarabjeet Singh Khalsa,FARIDKOT(SC),,2025-04-07,150000.0
3300,Normal/Others,Fitting of Sitting RCC Benches in Public Places,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Fitting of Sitting RCC Benches in Public Places,Sarabjeet Singh Khalsa,FARIDKOT(SC),,2025-04-07,150000.0
3301,Normal/Others,Purchase of Steel mobile water tanker at Gram Panchayat Sandhura singh Nagar,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Purchase of Steel mobile water tanker at Gram Panchayat Sandhura singh Nagar,Sarabjeet Singh Khalsa,FARIDKOT(SC),,2025-04-07,200000.0
3302,Normal/Others,Purchase of Steel mobile water tanker at Gram Panchayat Navan Pehluwala,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Purchase of Steel mobile water tanker at Gram Panchayat Navan Pehluwala,Sarabjeet Singh Khalsa,FARIDKOT(SC),,2025-04-07,200000.0
3303,Normal/Others,Purchase of Steel mobile water tanker,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Purchase of Steel mobile water tanker,Sarabjeet Singh Khalsa,FARIDKOT(SC),,2025-04-07,200000.0
3304,Normal/Others,Purchase of Steel mobile water tanker,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Purchase of Steel mobile water tanker,Sarabjeet Singh Khalsa,FARIDKOT(SC),,2025-04-07,200000.0
3305,Normal/Others,Construction of Urinal Shed at Sialtlai,Mizoram,"Siaha(Deputy Commissioner, Siaha)",Construction of Urinal Shed at Sialtlai,Richard Vanlalhmangaiha,MIZORAM (ST),,2026-02-11,250000.0
3306,Normal/Others,Construction of Urinal Shed at New laty,Mizoram,"Siaha(Deputy Commissioner, Siaha)",Construction of Urinal Shed at New laty,Richard Vanlalhmangaiha,MIZORAM (ST),,2026-02-11,250000.0
3307,Normal/Others,Construction of Urinal Shed at Tipa V-II (Bus stand),Mizoram,"Siaha(Deputy Commissioner, Siaha)",Construction of Urinal Shed at Tipa V-II (Bus stand),Richard Vanlalhmangaiha,MIZORAM (ST),,2026-02-11,250000.0
3308,Normal/Others,improvement/Maintenance / clearing Landslip of Road between Zyhno( zawngling) and R.Khemu at Zyhno,Mizoram,"Siaha(Deputy Commissioner, Siaha)",improvement/Maintenance / clearing Landslip of Road between Zyhno( zawngling) and R.Khemu at Zyhno,Richard Vanlalhmangaiha,MIZORAM (ST),,2026-02-11,1000000.0
3309,Normal/Others,Construction of Urinal Shed at Maisa,Mizoram,"Siaha(Deputy Commissioner, Siaha)",Construction of Urinal Shed at Maisa,Richard Vanlalhmangaiha,MIZORAM (ST),,2026-02-11,250000.0
3310,Normal/Others,CONSTRUCTION OF SHED AT DAKATIA KALI TALA AT KHURIGACHI IN DILAKASH GRAM PANCHAYAT.,West Bengal,HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA),CONSTRUCTION OF SHED AT DAKATIA KALI TALA AT KHURIGACHI IN DILAKASH GRAM PANCHAYAT.,Kalyan Banerjee,SREERAMPUR,Images,2025-03-28,940830.0
3311,Normal/Others,"Construction of Building for Cultural Activities, Amdapur (V), Armoor (M)",Telangana,NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA),"Construction of Building for Cultural Activities, Amdapur (V), Armoor (M)",Arvind Dharmapuri,NIZAMABAD,,2025-02-24,400000.0
3312,Normal/Others,"Providing LED High Mast light at Y junction, Reddy farm (V)",Telangana,NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA),"Providing LED High Mast light at Y junction, Reddy farm (V)",Arvind Dharmapuri,NIZAMABAD,,2025-02-24,134645.0
3313,Normal/Others,Laying of CC road from Gandhi statue to vanjari Bhojamma (H),Telangana,NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA),Laying of CC road from Gandhi statue to vanjari Bhojamma (H),Arvind Dharmapuri,NIZAMABAD,,2025-02-24,300000.0
3314,Normal/Others,gram chilariya me nale par puliya nirman,Madhya Pradesh,DHAR(DISTRICT COLLECTOR DHAR_IDA),gram chilariya me nale par puliya nirman,Savitri Thakur,DHAR(ST),Images,2025-06-12,1500000.0
3315,Normal/Others,GAUHANIYA- AKBARPUR MARG SE MARTHUA SARAIYA ME SHRI RAM MURAT TIWARI KE GHAR TAK MITTI AND KHADANJA KARYA DURI 371M,Uttar Pradesh,AMBEDKAR NAGAR(DISTRICT MAGISTRATE AMBEDKAR NAGAR_IDA),GAUHANIYA- AKBARPUR MARG SE MARTHUA SARAIYA ME SHRI RAM MURAT TIWARI KE GHAR TAK MITTI AND KHADANJA KARYA DURI 371M,Lalji Verma,AMBEDKAR NAGAR,,2026-02-07,730117.0
3316,Normal/Others,BADAGAON IBRAHIMPUR DAKSHIN KA PURA ME SHRI TULSIRAM KE TUBEL SE SHRI VARUN VERMA KE GHAR TAK KHADANJA KARY DURI 200M,Uttar Pradesh,AMBEDKAR NAGAR(DISTRICT MAGISTRATE AMBEDKAR NAGAR_IDA),BADAGAON IBRAHIMPUR DAKSHIN KA PURA ME SHRI TULSIRAM KE TUBEL SE SHRI VARUN VERMA KE GHAR TAK KHADANJA KARY DURI 200M,Lalji Verma,AMBEDKAR NAGAR,,2025-11-06,436430.0
3317,Normal/Others,Const. of Chabutra Kadyan Khop and Repair of Boundry wall in Gram Panchayat Chimni,Haryana,JHAJJAR(DEPUTY COMMISSIONER cum NODAL OFFICER MPLADS JHAJJAR),Const. of Chabutra Kadyan Khop and Repair of Boundry wall in Gram Panchayat Chimni,Deepender Singh Hooda,ROHTAK,Images,2025-03-06,493629.0
3318,Normal/Others,"One 9 meter high mast LED light in gram bharsar chauraha, development block-Bankata",Uttar Pradesh,DEORIA(DISTRICT MAGISTRATE DEORIA),"One 9 meter high mast LED light in gram bharsar chauraha, development block-Bankata",Ramashankar Rajbhar,SALEMPUR,Images,2025-07-25,312780.0
3319,Normal/Others,One 9 meter high mast LED light on Musaila buzurg chauraha Development Block-Salempur,Uttar Pradesh,DEORIA(DISTRICT MAGISTRATE DEORIA),One 9 meter high mast LED light on Musaila buzurg chauraha Development Block-Salempur,Ramashankar Rajbhar,SALEMPUR,Images,2025-07-25,312789.0
