source_house,source_file,source_row_number,sr_no,state,honble_members_of_parliament,elected/nominated,allocated_amount_₹
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,173,172,Goa,Shri Sadanand Mhalu Shet Tanavade (2023-29) (2023-2029),Elected MP,171500000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,174,173,Jammu And Kashmir,Shri Sajjad Ahmad Kichloo (2025-31) (2025-2031),Elected MP,73500000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,175,174,West Bengal,Shri Samik Bhattacharya (2024-30) (2024-2030),Elected MP,147000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,176,175,West Bengal,Shri Samirul Islam (2023-29) (2023-2029),Elected MP,171500000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,177,176,Andhra Pradesh,Shri Sana Sathish Babu (2026-32) (2026-2032),Elected MP,49063978.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,178,177,Kerala,Shri Sandosh Kumar P (2022-28) (2022-2028),Elected MP,220563957.1
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,179,178,Haryana,Shri Sanjay Bhatia (2026-32) (2026-2032),Elected MP,49000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,180,179,Bihar,Shri Sanjay Kumar Jha (2024-30) (2024-2030),Elected MP,186200000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,181,180,Maharashtra,Shri Sanjay Raut (2022-28) (2022-2028),Elected MP,196063957.1
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,182,181,Uttar Pradesh,Shri Sanjay Seth (2024-30) (2024-2030),Elected MP,147000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,183,182,Delhi,Shri Sanjay Singh (2024-30) (2024-2030),Elected MP,184466426.1
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,184,183,Bihar,Shri Sanjay Yadav (2024-30) (2024-2030),Elected MP,186200000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,185,184,Punjab,Shri Sant Balbir Singh (2022-28) (2022-2028),Elected MP,196359074.4
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,186,185,Jammu And Kashmir,Shri Sat Paul Sharma (2025-31) (2025-2031),Elected MP,73500000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,187,186,Bihar,Shri Satish Chandra Dubey (2022-28) (2022-2028),Elected MP,235263957.1
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,188,187,Chandigarh,Shri Satnam Singh Sandhu (2024-30) (2024-2030),Nominated MP,147000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,189,188,Bihar,Shri Shambhu Sharan Patel (2022-28) (2022-2028),Elected MP,237168443.5
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,190,189,Bihar,Shri Shivesh Kumar (2026-32) (2026-2032),Elected MP,49000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,191,190,Haryana,Shri Subhash Barala (2024-30) (2024-2030),Elected MP,147000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,192,191,Odisha,Shri Subhasish Khuntia (2024-30) (2024-2030),Elected MP,147000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,193,192,Odisha,Shri Sujeet Kumar (2026-32) (2026-2032),Elected MP,49000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,194,193,Uttar Pradesh,Shri Surendra Singh Nagar (2022-28) (2022-2028),Elected MP,220563957.1
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,195,194,Arunachal Pradesh,Shri Tai Tagak (2026-32) (2026-2032),Elected MP,49000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,196,195,Madhya Pradesh,Shri Tarun Chugh (2026-32) (2026-2032),Elected MP,49000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,197,196,Uttar Pradesh,Shri Tejveer Singh (2024-30) (2024-2030),Elected MP,147000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,198,197,Assam,Shri Terash Gowalla (2026-32) (2026-2032),Elected MP,49000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,199,198,Tamil Nadu,Shri Tiruchi Siva (2026-32) (2026-2032),Elected MP,49356476.5
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,200,199,Maharashtra,Shri Ujjwal Deorao Nikam (2025-31) (2025-2031),Nominated MP,73500000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,201,200,Bihar,Shri Upendra Kushwaha (2026-32) (2026-2032),Elected MP,49000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,202,201,Andhra Pradesh,Shri V. Vijayendra Prasad (2022-28) (2022-2028),Nominated MP,196063957.1
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,203,202,Andhra Pradesh,Shri Vijay Chintakayala (2026-32) (2026-2032),Elected MP,49000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,204,203,Maharashtra,Shri Vinod Shridhar Tawde (2026-32) (2026-2032),Elected MP,49000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,205,204,Madhya Pradesh,Shri Vivek K. Tankha (2022-28) (2022-2028),Elected MP,220563957.1
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,206,205,Andhra Pradesh,Shri Yerram Venkata Subba Reddy (2024-30) (2024-2030),Elected MP,147000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,207,206,Manipur,Smt. Adhikarimayum Sharda Devi (2026-32) (2026-2032),Elected MP,49000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,208,207,Uttar Pradesh,Smt. Darshana Singh (2022-28) (2022-2028),Elected MP,196994373.9
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,209,208,Uttar Pradesh,Smt. Geeta alias Chandraprabha (2020-26) (2020-2026),Elected MP,196063957.1
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,210,209,Uttar Pradesh,Smt. Jaya Amitabh Bachchan (2024-30) (2024-2030),Elected MP,147000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,211,210,Kerala,Smt. Jebi Mather Hisham (2022-28) (2022-2028),Elected MP,220563957.1
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,212,211,Chhattisgarh,Smt. Laxmi Verma (2026-32) (2026-2032),Elected MP,49000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,213,212,Jharkhand,Smt. Mahua Maji (2022-28) (2022-2028),Elected MP,232524001.2
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,214,213,West Bengal,Smt. Mamata Thakur (2024-30) (2024-2030),Elected MP,147000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,215,214,Maharashtra,Smt. Maya Chintaman Ivnate (2026-32) (2026-2032),Elected MP,49000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,216,215,Madhya Pradesh,Smt. Maya Naroliya (2024-30) (2024-2030),Elected MP,147000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,217,216,Karnataka,Smt. Nirmala Sitharaman (2022-28) (2022-2028),Elected MP,215972051.5
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,218,217,Kerala,Smt. P. T. Usha (2022-28) (2022-2028),Nominated MP,196063957.1
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,219,218,Chhattisgarh,Smt. Phulo Devi Netam (2026-32) (2026-2032),Elected MP,49000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,220,219,Tamil Nadu,Smt. Rajathi (2025-31) (2025-2031),Elected MP,89248285.42
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,221,220,Chhattisgarh,Smt. Ranjeet Ranjan (2022-28) (2022-2028),Elected MP,246780257.9
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,222,221,Haryana,Smt. Rekha Sharma (2024-28) (2024-2028),Elected MP,98000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,223,222,Telangana,Smt. Renuka Chowdhury (2024-30) (2024-2030),Elected MP,147000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,224,223,Nagaland,Smt. S. Phangnon Konyak (2022-28) (2022-2028),Elected MP,206563957.1
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,225,224,Uttar Pradesh,Smt. Sadhna Singh (2024-30) (2024-2030),Elected MP,147000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,226,225,West Bengal,Smt. Sagarika Ghose (2024-30) (2024-2030),Elected MP,147000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,227,226,Uttar Pradesh,Smt. Sangeeta Yadav (2022-28) (2022-2028),Elected MP,196063957.1
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,228,227,Uttar Pradesh,Smt. Seema Dwivedi (2020-26) (2020-2026),Elected MP,173830159.1
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,229,228,Rajasthan,Smt. Sonia Gandhi (2024-30) (2024-2030),Elected MP,147000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,230,229,Karnataka,Smt. Sudha Murty (2024-30) (2024-2030),Nominated MP,147000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,231,230,Odisha,Smt. Sulata Deo (2022-28) (2022-2028),Elected MP,196084721.4
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,232,231,Madhya Pradesh,Smt. Sumitra Balmik (2022-28) (2022-2028),Elected MP,196063957.1
